id,referencia,score_calidad,etapa_comercial,tipo_oportunidad,sectores,materiales_detectados,precio_formateado,entidad,departamento,ciudad,modalidad,contratista_nombre,contratista_nit,accion_sugerida,url_secop,descripcion
CO1.REQ.10357323,SASIP 004 DE 2026 (Presentación de oferta),78,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,Energía Solar & Alumbrado Público,alumbrado público,"$1,600,000,000 COP",ALCALDIA MUNICIPAL DE IPIALES,Nariño,Ipiales,Selección abreviada subasta inversa,ASC INGENIERIA SA ESP,8140029797,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10215573,"SUMINISTRO DE ENERGÍA ELÉCTRICA, CON DESTINO AL SISTEMA DE ALUMBRADO PÚBLICO EN EL ÁREA URBANA Y RURAL DEL MUNICIPIO DE IPIALES - NARIÑO."
CO1.REQ.10383641,LP-001-2026 (Presentación de oferta),78,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,Energía Solar & Alumbrado Público,alumbrado público,"$1,197,321,600 COP",ALCALDIA MUNICIPIO DE MANZANARES,Caldas,Manzanares,Licitación pública,CONSORCIO MANZANARES ILUMINADA,No Definido,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10240326,"CONCESIÓN PARA LA OPERACIÓN, ADMINISTRACIÓN, MANTENIMIENTO, REPOSICIÓN Y EXPANSIÓN DEL SISTEMA DE ALUMBRADO PÚBLICO, EN EL MUNICIPIO DE MANZANARES, CALDAS"
CO1.REQ.10875617,OCO-260081,75,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Acero & Metalmecánica,"estructura metalica, soldadura","$297,797,500 COP",UNIVERSIDAD FRANCISCO DE PAULA SANTANDER,Norte de Santander,Cúcuta,Contratación régimen especial,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10731107,ADQUISICION DE SILLAS UNIVERSITARIAS NTC 4734 CON ESTRUCTURA METALICA CUBIERTA EN PINTURA ELECTROSTATICA ASIENTO ESPALDAR Y BRAZO FIJO 4 ZURDOS 18 DIESTROS ELABORADOS EN TRIPLEX LACADO AL NATURAL SUPERFICIE SILLA TRIPLEX Y TERMINADO AL NATURAL ESTRUC
CO1.REQ.11061270,SASIE-003-2026,75,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$199,271,726 COP",MUNICIPIO DE CISNEROS,Antioquia,Cisneros,Selección abreviada subasta inversa,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10918472,"EJECUCIÓN DEL PROGRAMA DE   ALIMENTACIÓN ESCOLAR - PAE, PARA LOS NIÑOS, NIÑAS Y ADOLESCENTES DE LA MATRÍCULA OFICIAL DEL MUNICIPIO DE CISNEROS - ANTIOQUIA, NO CERTIFICADO EN EDUCACIÓN - ANTIOQUIA, PARA LA VIGENCIA 2026-2"
CO1.REQ.11072551,SI-002-2026,75,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$179,438,308 COP",ALCALDÍA MUNICIPAL DE BELMIRA ANTIOQUIA,Antioquia,Belmira,Selección abreviada subasta inversa,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10929393,"PRESTACIÓN DEL SERVICIO DE MANIPULACIÓN DE ALIMENTOS Y SUMINISTROS DE ALIMENTOS Y VÍVERES DE LA CANASTA FAMILIAR PARA LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE, PARA LOS NIÑOS, NIÑAS Y ADOLESCENTES DE LA MATRICULA OFICIAL DEL MUNICIPIO DE"
CO1.REQ.10373444,CCI-PTSP-120-2026,73,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Energía Solar & Alumbrado Público,paneles solares,"$17,014,749,489 COP",FONDO PARA EL DESARROLLO DEL PLAN TODOS SOMOS PAZCÍFICO,Distrito Capital de Bogotá,Bogotá,Contratación régimen especial,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10230443,"REALIZAR LA IMPLEMENTACIÓN DE SISTEMAS DE GENERACIÓN DE ENERGÍA ELÉCTRICA CON PANELES SOLARES FOTOVOLTAÍCOS UNIFAMILIAR DE 6,1 KW, EN EL MUNICIPIO DE UNGUÍA, DEPARTAMENTO DEL CHOCÓ"
CO1.REQ.10954533,LP-005-2026,73,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Energía Solar & Alumbrado Público,alumbrado público,"$9,920,776,360 COP",MUNICIPIO DE GACHANCIPA,Cundinamarca,Gachancipá,Licitación pública,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10811764,"SELECCIONAR UN SOCIO ESTRATÉGICO PARA LA CONSTITUCIÓN DE UNA EMPRESA DE ECONOMÍA MIXTA DESCENTRALIZADA DEL ORDEN MUNICIPAL, CUYO OBJETO SERÁ LA PRESTACIÓN INTEGRAL DEL SERVICIO DE ALUMBRADO PÚBLICO EN EL MUNICIPIO DE GACHANCIPÁ, CUNDINAMARCA, INCLUYE"
CO1.REQ.11019988,REG 2026-044,73,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Energía Solar & Alumbrado Público,fotovoltaica,"$7,599,653,652 COP",SERVICIOS INTEGRALES DEL ESTADO COLOMBIANO SIEC SAS SOCIEDAD DE ECONOMIA MIXTA1,Distrito Capital de Bogotá,Bogotá,Contratación régimen especial,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10879371,"EJECUCION - CONSTRUCCIÓN DE SOLUCION FOTOVOLTAICA PARA LA GENERACION DE ENERGIA ELECTRICA EN VIVIENDAS RURALES DISPERSAS EN EL MUNICIPIO DE RIOHACHA, LA GUAJIRA"
CO1.REQ.11056349,ARI.LP-021-2026 (Fase de Selección (Presentación de ofertas)),73,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Energía Solar & Alumbrado Público,fotovoltaica,"$5,669,365,005 COP",ARAUCA ILUMINADA SAS ESP,Arauca,Arauca,Licitación pública Obra Publica,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10912288,"IMPLEMENTACIÓN DE SISTEMAS DE ENERGÍA FOTOVOLTAICA EN INSTITUCIONES EDUCATIVAS DEL MUNICIPIO DE TAME, DEPARTAMENTO DE ARAUCA"
CO1.REQ.10369226,CW384145,73,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Acero & Metalmecánica,varillas,"$4,277,863,440 COP",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,Medellín,Contratación régimen especial,FUNDIHERRAJES DE COLOMBIA S.A.S,900131075,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10226141,"Suministro de collarines, guardacabos, perchas y varillas de anclaje GRUPO 1 Y 3"
CO1.REQ.11023510,LP004-2026,73,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Energía Solar & Alumbrado Público,alumbrado público,"$4,118,123,668 COP",ALCALDÍA MUNICIPAL DE COCORNÁ,Antioquia,No Definido,Licitación pública,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10877374,"Contratar mediante la modalidad de licitación pública y el mecanismo de concesión la prestación integral y la optimización del servicio de alumbrado público del municipio de Cocorná Antioquiaque comprende entre otras actividades, la administración, o"
CO1.REQ.10362031,CW384147,73,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Acero & Metalmecánica,varillas,"$2,700,736,820 COP",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,Medellín,Contratación régimen especial,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10218831,"Suministro de collarines, guardacabos, perchas y varillas de anclaje - GRUPO2"
CO1.REQ.11068701,CI009-2026,73,Proceso Activo (Seleccionado),Monitoreo Comercial,Energía Solar & Alumbrado Público,"alumbrado público, fotovoltaico","$712,295,357 COP",ASOCIACIÓN DE MUNICIPIOS DEL NORTE ANTIOQUEÑO- AMUNORTE,Antioquia,Medellín,Contratación directa,No Definido,No Definido,Hacer seguimiento al cierre de ofertas o adjudicación.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10929073,"INTERVENTORÍA ADMINISTRATIVA, TÉCNICA, AMBIENTAL, LEGAL Y FINANCIERA AL CONTRATO DE OBRA PARA LAAMPLIACIÓN DEL ALUMBRADO PÚBLICO SOLAR FOTOVOLTAICO MEDIANTE SUMINISTRO, INSTALACIÓN Y MONITOREO EN TRAMOS DE UNIÓN PANAMERICANA, CHOCÓ: 1. VÍA SAN PABLO;"
CO1.REQ.10977437,CON-001-2026,73,Proceso Activo (Seleccionado),Monitoreo Comercial,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$704,290,024 COP",MUNICIPIO DE VEGACHI,Antioquia,Vegachí,Contratación directa,No Definido,No Definido,Hacer seguimiento al cierre de ofertas o adjudicación.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10831413,"AUNAR ESFUERZOS PARA LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR, PAE, PARA LOS NIÑOS, NIÑAS Y ADOLESCENTES DE LA MATRICULA OFICIAL DEL MUNICIPIO DE VEGACHI,  ANTIOQUIA, EN EL MARCO DEL CONVENIO INTERADMINISTRATIVO N.º 4600019378, SUSCRITO CON "
CO1.REQ.11007204,SI-011-2026 (Presentación de oferta),73,Proceso Activo (Evaluación),Monitoreo Comercial,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$600,819,767 COP",ALCALDIA DE EL PEÑOL,Antioquia,Peñol,Selección abreviada subasta inversa,No Definido,No Definido,Hacer seguimiento al cierre de ofertas o adjudicación.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10862734,SUMINISTRO RACIÓN TIPO ALMUERZO Y VÍVERES PARA GARANTIZAR LA DEBIDA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PAE EN EL MUNICIPIO DE EL PEÑOL COMO ESTRATEGIA DE ACCESO Y PERMANENCIA AL SISTEMA EDUCATIVO
CO1.REQ.5532126,SA SI 001-2024,73,Borrador de Pliegos,Oportunidad Pre-Licitación,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$502,494,630 COP",ALCALDIA MUNICIPAL DE LA UNION,Antioquia,No Definido,Selección Abreviada de Menor Cuantía,No Definido,No Definido,Notificar a clientes contratistas para que soliciten observaciones o preparen propuesta de consorcio.,https://community.secop.gov.co/STS/Users/Login/Index,No definido
CO1.REQ.10998733,SUBASTA INVERSA No. 003/2026,73,Proceso Activo (Evaluación),Monitoreo Comercial,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$470,460,291 COP",MUNICIPIO DE PEQUE,Antioquia,Peque,Selección abreviada subasta inversa,No Definido,No Definido,Hacer seguimiento al cierre de ofertas o adjudicación.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10853267,"SUMINISTRO DE RACIÓN SEGUN MINUTA Y LA CONTRATACIÓN DEL PERSONAL MANIPULADOR DE ALIMENTOS DESTINADO A LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR (PAE), DIRIGIDO A NIÑOS, NIÑAS Y ADOLESCENTES CARACTERIZADOS EN LA MATRICULA OFICIAL DEL MUNICIPIO"
CO1.REQ.8700507,276COGFM DIADF 2025,73,Borrador de Pliegos,Oportunidad Pre-Licitación,Energía Solar & Alumbrado Público,"energia renovable, sistema fotovoltaico, fotovoltaico","$468,778,266 COP",COMANDO GENERAL DE LAS FUERZAS MILITARES,Distrito Capital de Bogotá,Bogotá,Selección Abreviada de Menor Cuantía,No Definido,No Definido,Notificar a clientes contratistas para que soliciten observaciones o preparen propuesta de consorcio.,https://community.secop.gov.co/STS/Users/Login/Index,"REQUIERE CONTRATAR EL SUMINISTRO INTALACIÓN, CONFIGURACIÓN Y PUESTA EN FUNCIONAMIENTO DE UN SISTEMA DE ENERGIA RENOVABLE DENOMINADO SISTEMA FOTOVOLTAICO, PARA LA RED INTEGRADA DE COMUNICACIONES DEL COGFM, DE ACUERDO CON LAS ESPECIFICACIONES TÉCNICAS "
CO1.REQ.11068101,CI010-2026,73,Proceso Activo (Seleccionado),Monitoreo Comercial,Energía Solar & Alumbrado Público,"alumbrado público, fotovoltaico","$417,129,096 COP",ASOCIACIÓN DE MUNICIPIOS DEL NORTE ANTIOQUEÑO- AMUNORTE,Antioquia,Medellín,Contratación directa,No Definido,No Definido,Hacer seguimiento al cierre de ofertas o adjudicación.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10924505,"INTERVENTORÍA ADMINISTRATIVA, TÉCNICA, AMBIENTAL, LEGAL Y FINANCIERA AL CONTRATO DE OBRA PARA LAAMPLIACIÓN DEL ALUMBRADO PÚBLICO SOLAR FOTOVOLTAICO MEDIANTE SUMINISTRO, INSTALACIÓN Y MONITOREO EN TRAMOS DE UNIÓN PANAMERICANA, CHOCÓ: 1. VÍA SAN PABLO;"
CO1.REQ.11062472,ACUERDO FORMAL (01) Bolsa Común,73,Proceso Activo (Seleccionado),Monitoreo Comercial,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$389,325,561 COP",MUNICIPIO DE CAPARRAPI*,Cundinamarca,Caparrapí,Contratación directa,No Definido,No Definido,Hacer seguimiento al cierre de ofertas o adjudicación.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10918613,"Aunar esfuerzos para la conformación de la Bolsa Común de recursos para el financiamiento del Programa de Alimentación Escolar  PAE  en la ETC Cundinamarca, mediante la transferencia de recursos SGP Alimentación Escolar del Municipio de Caparrapí, Cu"
CO1.REQ.11021132,SAMC-014-2026,73,Proceso Activo (Evaluación),Monitoreo Comercial,Energía Solar & Alumbrado Público,"alumbrado público, fotovoltaico","$332,719,049 COP",CORMACARENA,Meta,Villavicencio,Selección Abreviada de Menor Cuantía,No Definido,No Definido,Hacer seguimiento al cierre de ofertas o adjudicación.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10875355,"IMPLEMENTACIÓN DE SOLUCIONES ENERGÉTICAS RENOVABLES MEDIANTE ALUMBRADO PÚBLICO FOTOVOLTAICO, ORIENTADOS A FORTALECER LA INFRAESTRUCTURA COMUNITARIA A LOS RESGUARDOS INDÍGENAS DE EL TIGRE,  WALLIANAE (PUERTO GAITÁN), NAEXAL PUT (PUERTO CONCORDIA), DOK"
CO1.REQ.10347509,CM-SSECD-001-2026 (Presentación de oferta),72,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,HORECA & Maquinaria Gastronómica,alimentación escolar,"$448,409,225 COP",ALCALDIA DE GUAMAL - META,Meta,Guamal,Concurso de méritos abierto,EDELMIRA SIERRA GUTIERREZ,No Definido,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10204528,"INTERVENTORÍA TÉCNICA, ADMINISTRATIVA, FINANCIERA, JURÍDICA Y CONTABLE AL CONTRATO DE IMPLEMENTACIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR PARA LOS ESTUDIANTES DE LAS SEDES EDUCATIVAS RURALES DE LA INSTITUCION EDUCATIVA NICOLAS DE FEDERMAN DEL MUNICIP"
CO1.REQ.10944512,MP-LOP-002 DE 2026 (Fase de Selección (Presentación de ofertas)),71,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,Acero & Metalmecánica,estructura metalica,"$815,296,808 COP",MUNICIPIO DE PAYA,Boyacá,Paya,Licitación pública Obra Publica,SEPI LTDA,9000537522,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10798128,"CONSTRUCCION DE CORRALES GANADEROS COMUNITARIOS CON ESTRUCTURA METALICA Y CUBIERTA EN LAS VEREDAS LA UNION Y ABEJON, ASÍ COMO EL MANTENIMIENTO DE LA MANGA DE COLEO Y LA PLAZA DE FERIAS DEL MUNICIPIO DE PAYA - BOYACA."
CO1.REQ.10387971,CDFP-024-26,71,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,"Acero & Metalmecánica, Construcción & Obra Civil General","hospital, vigas","$748,170,000 COP",ESE HOSPITAL LOCAL CARTAGENA DE INDIAS.*,Bolívar,Cartagena,Contratación régimen especial (con ofertas),FUNPRIMAVERA,No Definido,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10244399,"MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE ELEMENTOS DE INFRAESTRUCTURA SANITARIA E HIDRÁULICA, QUE INCLUYEN TANQUES DE ALMACENAMIENTO DE AGUA POTABLE, CUBIERTAS, VIGAS CANALES Y SISTEMAS DE EVACUACIÓN DE AGUAS LLUVIAS EN LOS CENTROS DE SALUD DE LA E.S"
CO1.REQ.10958681,LP-003-2026 (Fase de Selección (Presentación de ofertas)),71,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,Energía Solar & Alumbrado Público,alumbrado público,"$511,553,617 COP",MUNICIPIO DE CUBARA BOYACA,Boyacá,No Definido,Licitación pública Obra Publica,CARREÑO CONSTRUYE S.A.S,No Definido,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10812693,"AMPLIACIÓN Y MODERNIZACIÓN DEL SISTEMA DE ALUMBRADO PÚBLICO DE LA VÍA PRINCIPAL DEL MUNICIPIO DE CUBARÁ, DEPARTAMENTO DE BOYACÁ"
CO1.REQ.10963368,C26-126,70,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Construcción & Obra Civil General,hospital,"$3,200,000,000 COP",HUV - HOSPITAL UNIVERSITARIO DEL VALLE EVARISTO GARCIA E.S.E.,Valle del Cauca,Cali,Contratación régimen especial,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10817504,"CONTRATAR LA EJECUCIÓN DE LAS OBRAS DE REPARACIÓN Y REHABILITACIÓN DE LA INFRAESTRUCTURA FÍSICA DE LAS ÁREAS DE ALTO RIESGO OBSTÉTRICO, GINECOOBSTETRICIA Y DEMÁS ÁREAS DE INFLUENCIA DEL PISO 6, PISO 2 Y CERRAMIENTO PERIMETRAL INTERNO DEL HOSPITAL UNI"
CO1.REQ.10972338,LP-005-2026-HOMIL,70,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Construcción & Obra Civil General,hospital,"$1,420,227,790 COP",HOSPITAL MILITAR CENTRAL,Distrito Capital de Bogotá,No Definido,Licitación pública,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10854354,"ADQUISICIÓN, PREINSTALACIÓN, INSTALACIÓN Y PUESTA EN FUNCIONAMIENTO DE EQUIPOS BIOMÉDICOS PARA LOS DIFERENTES SERVICIOS PERTENECIENTES AL HOSPITAL MILITAR CENTRAL."
CO1.REQ.11019488,LP-006-2026-HOMIL,70,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Construcción & Obra Civil General,hospital,"$1,106,140,700 COP",HOSPITAL MILITAR CENTRAL,Distrito Capital de Bogotá,No Definido,Licitación pública,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10876466,"ADQUISICIÓN, INSTALACIÓN Y PUESTA EN FUNCIONAMIENTO DE AUTOCLAVE DE ALTA TEMPERATURA PARA LA CENTRAL DE ESTERILIZACIÓN DEL HOSPITAL MILITAR CENTRAL"
CO1.REQ.11030841,MM-LP-SINF-005-2026,70,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Construcción & Obra Civil General,pavimentación,"$1,021,182,843 COP",MUNICIPIO DE MONTERREY,Casanare,Monterrey,Licitación pública,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10885019,"CONSTRUCCIÓN DE OBRAS DE PAVIMENTACIÓN EN CONCRETO RÍGIDO EN EL BARRIO 15 DE SEPTIEMBRE DEL MUNICIPIO DE MONTERREY, CASANARE, DISTRIBUIDAS EN DOS  2 LOTES, ASÍ LOTE 1  CONSTRUCCIÓN EN PAVIMENTO HIDRÁULICO EN LA CALLE 1 Y 1A ENTRE CARRERAS 10A Y 10B D"
CO1.REQ.9138213,ESAL-002 - 2025,70,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$91,374,320 COP",MUNICIPIO DE VENECIA ANTIOQUIA,Antioquia,Venecia,Contratación régimen especial (con ofertas),FUNDACION Y BCO DE ALIMENTOS CENTRAL MAYORISTA,811016502,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9000079,"EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE, PARA LOS NIÑOS, NIÑAS Y ADOLESCENTES DE LA MATRÍCULA OFICIAL PARA LA VIGENCIA 2025-2 EN EL MUNICIPIO DE VENECIA  ANTIOQUIA"
CO1.REQ.10381607,4100000088,66,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Energía Solar & Alumbrado Público,alumbrado publico,"$435,005,500 COP",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,Medellín,Contratación régimen especial,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10238092,"cable aluminio recubierto de cobre cca 3x12awg encauchetado aislado pvc/pvc 600v 90°c alumbrado publico negro, cable aluminio recubierto de cobre cca 3x12awg encauchetado aislado pvc/pvc 600v 90°c alumbrado publico negro, cable aluminio recubierto de"
CO1.REQ.10911856,4100001728,66,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Acero & Metalmecánica,varilla,"$413,945,000 COP",EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,Antioquia,Medellín,Contratación régimen especial,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10765364,"conector pernado tipo tornillo con arandela de presion cobre 8-6awg a varilla 5/8' para puesta a tierra, conector pernado tipo tornillo con arandela de presion cobre 8-6awg a varilla 5/8' para puesta a tierra, conector pernado tipo tornillo con arand"
CO1.REQ.11059046,SAMC-002-2026,66,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Acero & Metalmecánica,estructura metálica,"$402,925,701 COP",INSTITUTO PARA LA EDUCACION FISICA LA RECREACION Y EL DEPORTE DE DUITAMA,No Definido,No Definido,Selección Abreviada de Menor Cuantía,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10917211,"REALIZAR LAS OBRAS DE ADECUACIÓN, MANTENIMIENTO Y CONSERVACIÓN DE LA CUBIERTA Y ESTRUCTURA METÁLICA DE LA PISCINA OLÍMPICA DE DUITAMA, PARA MEJORAR LAS CONDICIONES DE FUNCIONAMIENTO Y CONSERVACIÓN DEL ESCENARIO DEPORTIVO"
CO1.REQ.11050327,SA 014 DE 2026,66,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Acero & Metalmecánica,acero de refuerzo,"$387,574,706 COP",MUNICIPIO DE DABEIBA,Antioquia,Dabeiba,Selección Abreviada de Menor Cuantía,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10905786,"SUMINISTRO Y TRANSPORTE DE MATERIALES PÉTREOS, ELEMENTOS DE FORMALETA, Y TRANSPORTE DE CEMENTO Y ACERO DE REFUERZO ADQUIRIDOS POR EL MUNICIPIO A TRAVÉS DE LA EMPRESA DE VIVIENDA DE ANTIOQUIA - VIVA, PARA SU ENTREGA A LAS COMUNIDADES RURALES EN EL MAR"
CO1.REQ.11061576,DHMP-SA-SPOP-010 DE 2026 (Manifestación de interés (Menor Cuantía)),66,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Energía Solar & Alumbrado Público,alumbrado público,"$379,784,854 COP",ALCALDIA DE PAICOL HUILA,Huila,Paicol,Selección Abreviada de Menor Cuantía,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10918191,"REALIZAR LA MODERNIZACIÓN Y EXPANSIÓN DEL ALUMBRADO PÚBLICO DEL MUNICIPIO DE PAICOL, DEPARTAMENTO DEL HUILA, PARA LA VIGENCIA 2026"
